Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
2283257,No,2,0,E2,49.89,49.89,0,No,Yes,Male,Direct,8,INFRA,Chennai,34,Joined
2286200,Yes,5,120,E1,42.86,0,-30,No,No,Male,Direct,5,AXON,Noida,28,Not Joined
2286297,Yes,105,120,E1,-16.67,-16.67,0,No,No,Female,Direct,3,AXON,Kolkata,34,Joined
2286317,No,1,60,E3,25,20.83,-3.33,No,No,Male,Employee Referral,6,INFRA,Noida,31,Joined
2286381,Yes,14,30,E1,-12.5,-12.5,0,No,No,Male,Direct,3,AXON,Kolkata,31,Joined
2286467,No,0,90,E1,33.5,28.64,-3.64,No,No,Male,Employee Referral,3,AXON,Noida,26,Joined
2286651,Yes,17,30,E2,40,15,-17.86,No,No,Female,Direct,9,CSMP,Gurgaon,37,Joined
2287263,Yes,69,75,E2,57.14,46.43,-6.82,No,No,Male,Employee Referral,6,ETS,Bangalore,29,Not Joined
2287314,Yes,68,60,E1,47.73,42.05,-3.85,No,No,Male,Direct,3,ERS,Chennai,26,Joined
2301543,No,1,60,E2,37.5,-12.5,-36.36,No,No,Male,Direct,2,INFRA,Noida,33,Joined
2302202,Yes,7,30,E2,42.86,42.86,0,No,No,Male,Direct,6,INFRA,Hyderabad,32,Joined
2302423,Yes,,30,E4,-30.95,-28.57,3.45,No,No,Male,Direct,1,INFRA,Mumbai,39,Joined
2322849,Yes,19,60,E2,50,30.5,-13,No,No,Male,Agency,10,ERS,Chennai,33,Not Joined
2322986,Yes,84,60,E2,42.86,42.86,0,No,No,Male,Agency,9,ERS,Chennai,33,Joined
2328123,No,28,30,E1,233.33,233.33,0,No,No,Male,Direct,3,ETS,Bangalore,30,Joined
2328274,No,,90,E1,38.89,-26.53,-47.1,No,No,Male,Direct,6,ERS,Bangalore,29,Not Joined
2328443,No,0,30,E3,246.94,206.12,-11.76,No,No,Male,Direct,10,ERS,Chennai,33,Joined
2328591,No,,30,E3,5,-4,-8.57,No,No,Male,Agency,15,ETS,Bangalore,43,Not Joined
2341036,No,,30,E2,42.85,42.85,0,No,No,Male,Direct,7,SALES,Bangalore,32,Not Joined
2341372,No,,30,E4,177.78,138.89,-14,No,No,Male,Direct,14,BFSI,Bangalore,38,Not Joined
2344484,No,126,30,E1,67.6,74.58,4.17,No,No,Male,Agency,5,ERS,Chennai,27,Not Joined
2344907,Yes,,90,E2,40,30,-7.14,No,No,Male,Direct,6,AXON,Noida,29,Not Joined
2347819,No,2,30,E1,14.75,-50.82,-57.14,No,No,Female,Agency,5,ERS,Chennai,29,Joined
2348220,No,4,30,E1,185.71,90.48,-33.33,No,No,Female,Direct,3,ERS,Chennai,30,Joined
2351625,Yes,0,30,E2,22.73,15.45,-5.93,No,No,Male,Agency,8,EAS,Chennai,37,Joined
2351866,Yes,10,30,E1,-15.32,-15.32,0,No,No,Male,Employee Referral,5,ETS,Bangalore,29,Joined
2352045,No,0,30,E1,-10.89,9.14,22.47,No,No,Male,Direct,1,INFRA,Noida,25,Joined
2352197,No,,30,E1,30.38,-14.56,-34.47,No,No,Male,Direct,6,ERS,Bangalore,31,Not Joined
2352237,No,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,INFRA,Noida,24,Joined
2354237,No,,60,E1,200.93,143.06,-19.23,No,No,Male,Direct,2,ERS,Bangalore,26,Not Joined
2354362,Yes,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,INFRA,Noida,23,Joined
2356722,No,,60,E1,46.94,-20.41,-45.83,No,No,Male,Direct,2,ERS,Bangalore,28,Not Joined
2356737,No,16,30,E1,0,-30.46,-30.46,No,No,Male,Direct,1,ERS,Bangalore,24,Joined
2356828,No,,90,E2,33.33,-35.33,-51.5,No,No,Male,Direct,9,ERS,Bangalore,32,Not Joined
2361174,Yes,106,90,E2,38.89,27.31,-8.33,No,No,Male,Direct,7,BFSI,Bangalore,31,Not Joined
2364321,Yes,90,45,E3,150,48.5,-40.6,No,No,Female,Direct,10,ERS,Bangalore,36,Joined
2364483,Yes,14,30,E1,-13.33,-13.33,0,No,No,Male,Direct,2,INFRA,Noida,29,Joined
2364616,Yes,3,30,E2,49.25,42.86,-4.28,No,No,Male,Direct,5,INFRA,Chennai,32,Joined
2365129,No,4,30,E1,42.86,42.86,0,No,No,Male,Direct,2,INFRA,Cochin,24,Not Joined
2368400,No,0,30,E1,-6.25,-6.25,0,No,No,Male,Direct,0,ETS,Chennai,32,Joined
2368563,No,6,30,E1,35.71,42.86,5.26,No,No,Female,Agency,3,ERS,Chennai,28,Joined
2372371,No,,45,E1,54.24,54.24,0,No,No,Male,Direct,3,ETS,Chennai,26,Not Joined
2372840,Yes,21,30,E1,-25.52,-25.52,0,No,No,Male,Direct,1,INFRA,Chennai,23,Joined
2375525,No,,90,E1,-30.18,-0.26,42.86,No,No,Male,Agency,2,ERS,Chennai,26,Not Joined
2377978,No,36,30,E1,77.78,94.44,9.38,No,No,Male,Direct,1,ERS,Bangalore,24,Joined
2377993,No,17,30,E1,150,250,40,No,No,Female,Direct,1,ERS,Bangalore,27,Joined
2378003,No,0,30,E1,25,62.5,30,No,No,Male,Direct,2,ERS,Bangalore,27,Joined
2378085,No,,45,E1,47.06,14.71,-22,No,No,Male,Direct,2,ERS,Chennai,24,Not Joined
2378097,Yes,34,30,E1,75,75,0,No,No,Male,Direct,2,ERS,Chennai,25,Joined
2378111,No,34,30,E1,0,32.81,32.81,No,No,Male,Direct,3,ERS,Bangalore,29,Joined
2378829,No,0,30,E2,42.86,42.86,0,No,No,Male,Direct,3,INFRA,Bangalore,29,Joined
2382818,Yes,20,30,E2,25.45,12.01,-10.71,No,No,Male,Agency,7,EAS,Chennai,41,Not Joined
2383202,No,13,30,E1,50,50,0,No,No,Female,Agency,3,ERS,Hyderabad,32,Joined
2398717,No,2,30,E2,79.57,60.99,-10.34,No,No,Male,Agency,7,ERS,Bangalore,33,Joined
2400028,Yes,20,30,E2,157.94,158.93,0.38,No,No,Male,Agency,11,ERS,Chennai,32,Not Joined
2403871,No,1,30,E1,-45.81,-45.81,0,No,No,Male,Direct,1,INFRA,Hyderabad,26,Joined
2407721,Yes,6,30,E1,12.5,-53.75,-58.89,No,No,Male,Agency,1,ERS,Chennai,27,Joined
2416792,Yes,8,60,E2,33.33,26.67,-5,No,No,Male,Direct,7,ERS,Chennai,29,Joined
2417191,No,,60,E3,-40.48,,,No,No,Male,Direct,7,INFRA,Chennai,32,Not Joined
2417836,Yes,42,45,E2,7.37,7.37,0,No,No,Male,Employee Referral,4,AXON,Bangalore,26,Joined
2419759,Yes,12,60,E1,208.33,208.33,0,No,No,Male,Direct,2,ERS,Chennai,29,Joined
2424526,Yes,16,90,E2,11.11,-22.22,-30,No,No,Male,Agency,9,ERS,Chennai,30,Joined
2437412,No,,60,E2,-15.78,20.31,42.86,No,No,Female,Agency,6,ERS,Chennai,28,Not Joined
2437568,Yes,,60,E3,67.83,39.86,-16.67,No,No,Male,Direct,10,EAS,Hyderabad,35,Not Joined
2437820,Yes,14,60,E3,31.43,20,-8.7,No,No,Male,Employee Referral,4,INFRA,Noida,29,Joined
2440646,Yes,103,45,E2,42.86,42.86,0,No,No,Male,Direct,6,ETS,Bangalore,35,Joined
2440672,Yes,69,45,E2,62.5,62.5,0,No,No,Male,Direct,9,ETS,Hyderabad,36,Joined
2440753,Yes,37,30,E2,62.5,37.5,-15.38,No,No,Male,Direct,6,ETS,Hyderabad,29,Not Joined
2441165,No,7,30,E2,30,60,23.08,No,No,Male,Agency,4,INFRA,Chennai,31,Joined
2441279,No,2,60,E2,32.53,19.28,-10,No,No,Male,Employee Referral,6,BFSI,Bangalore,31,Not Joined
2442101,Yes,38,45,E2,42.86,42.86,0,No,No,Male,Employee Referral,3,INFRA,Noida,27,Joined
2444384,Yes,43,60,E1,37.25,33.33,-2.86,No,No,Male,Direct,3,EAS,Chennai,25,Not Joined
2444496,Yes,60,60,E2,38.89,11.11,-20,No,No,Male,Direct,6,ETS,Bangalore,31,Not Joined
2445042,No,3,30,E2,42.86,42.86,0,No,No,Male,Direct,5,INFRA,Noida,27,Joined
2448333,No,,30,E1,16.21,0.49,-13.53,No,No,Male,Agency,5,ERS,Chennai,29,Not Joined
2452418,Yes,32,30,E2,45.3,19.66,-17.65,No,Yes,Male,Agency,7,ETS,Bangalore,30,Joined
2452436,Yes,23,45,E2,29.11,19.68,-7.3,No,No,Male,Agency,8,ERS,Bangalore,34,Joined
2456311,No,,30,E1,28.57,28.57,0,No,No,Male,Employee Referral,4,CORP,Noida,29,Joined
2457480,Yes,67,60,E3,25,32.68,6.14,No,No,Male,Agency,6,INFRA,Noida,33,Joined
2458879,No,5,30,E0,22.22,-60,-67.27,No,No,Female,Direct,1,ERS,Noida,27,Joined
2460132,No,,30,E1,44.58,2.41,-29.17,No,No,Male,Direct,2,ERS,Noida,26,Not Joined
2461027,No,42,60,E2,42.86,42.86,0,No,No,Male,Employee Referral,4,INFRA,Noida,30,Joined
2461696,No,8,30,E1,-30,0,42.86,No,No,Male,Employee Referral,7,ERS,Bangalore,30,Joined
2464247,No,7,30,E2,28.3,28.3,0,No,No,Male,Agency,7,INFRA,Chennai,29,Not Joined
2464457,Yes,5,30,E1,208.33,150,-18.92,No,No,Male,Agency,3,ERS,Bangalore,28,Joined
2464782,No,10,30,E3,-25,-20.39,6.14,No,No,Male,Agency,13,INFRA,Chennai,50,Joined
2468663,No,5,30,E1,51.52,66.67,10,No,No,Male,Direct,1,ERS,Bangalore,25,Joined
2468764,No,5,30,E1,51.52,70.45,12.5,No,No,Male,Direct,2,ERS,Bangalore,24,Joined
2473555,No,12,30,E2,42.86,42.86,0,No,No,Male,Employee Referral,4,INFRA,Noida,31,Joined
2474614,No,15,0,E3,-11.97,-11.97,0,No,Yes,Male,Employee Referral,11,ERS,Chennai,35,Joined
2474728,Yes,45,60,E2,25,18.75,-5,No,No,Male,Direct,7,BFSI,Bangalore,35,Not Joined
2474750,No,10,30,E1,250,250,0,No,No,Male,Direct,1,ERS,Chennai,23,Joined
2475296,Yes,,30,E1,-14.14,,,No,No,Male,Agency,6,Healthcare,Noida,28,Not Joined
2478191,No,,30,E1,6.67,-17.87,-23,No,No,Male,Employee Referral,6,ERS,Bangalore,32,Not Joined
2478398,Yes,7,30,E2,323.08,314.53,-2.02,No,No,Male,Agency,4,INFRA,Noida,31,Joined
2478667,No,,60,E2,21.21,16.16,-4.17,Yes,No,Male,Direct,3,CORP,Noida,25,Not Joined
2478695,Yes,7,30,E1,25,17.19,-6.25,No,No,Male,Employee Referral,7,ERS,Bangalore,31,Joined
2479005,Yes,36,30,E1,133.33,75,-25,No,No,Female,Agency,3,ERS,Chennai,27,Not Joined
2480992,No,2,30,E2,30,44,10.77,No,No,Male,Direct,7,INFRA,Noida,31,Joined
2481514,No,1,0,E1,-14.44,22.22,42.86,No,No,Female,Employee Referral,5,ERS,Chennai,30,Joined
2483538,Yes,25,30,E2,-48.05,42.86,175,No,No,Male,Direct,5,INFRA,Noida,30,Joined
2537835,No,6,30,E2,-40.82,-15.45,42.86,No,No,Male,Agency,6,ERS,Chennai,29,Joined
2537925,Yes,47,60,E3,45.83,51.04,3.57,No,No,Male,Agency,10,INFRA,Noida,34,Joined
2537986,Yes,21,30,E3,25,31.25,5,No,No,Female,Employee Referral,16,INFRA,Kolkata,40,Not Joined
2538533,No,0,30,E2,35.54,,,No,No,Female,Direct,7,EAS,Bangalore,30,Not Joined
2544512,Yes,11,30,E2,30,80,38.46,No,No,Male,Agency,4,INFRA,Chennai,33,Joined
2556458,No,4,30,E1,-11.56,-11.56,0,No,No,Female,Employee Referral,1,INFRA,Noida,24,Joined
2560792,No,,60,E3,-18.99,22.18,50.81,No,No,Male,Agency,17,ETS,Chennai,45,Not Joined
2561022,No,7,30,E1,242.86,42.86,-58.33,No,No,Male,Direct,1,INFRA,Noida,30,Joined
2561128,No,5,30,E1,42.86,-7.14,-35,No,No,Male,Direct,6,Healthcare,Gurgaon,32,Joined
2564579,No,,90,E1,,-53.78,,No,No,Male,Employee Referral,6,ERS,Bangalore,31,Not Joined
2564986,No,4,30,E2,42.86,42.86,0,No,No,Male,Agency,5,INFRA,Noida,37,Joined
2568767,Yes,,90,E2,25,25,0,No,No,Male,Agency,5,ERS,Bangalore,28,Not Joined
2569520,No,5,30,E3,-48.25,-48.25,0,No,No,Male,Employee Referral,9,INFRA,Chennai,31,Joined
2575776,No,11,30,E1,327.35,241.88,-20,No,No,Male,Direct,3,ERS,Chennai,26,Joined
2576352,No,1,30,E2,42.86,42.86,0,No,No,Male,Direct,8,INFRA,Chennai,31,Joined
2586163,No,2,30,E1,63.2,70.62,4.55,No,No,Male,Agency,5,ERS,Chennai,28,Joined
2586868,Yes,48,30,E3,30,80,38.46,No,No,Male,Direct,7,INFRA,Bangalore,31,Joined
2590178,Yes,74,90,E1,40.15,-1.52,-29.73,No,Yes,Male,Direct,8,ERS,Bangalore,35,Joined
2590903,Yes,4,30,E2,3.34,3.34,0,No,No,Female,Direct,6,EAS,Chennai,31,Joined
2591170,No,40,30,E2,,42.85,,No,No,Male,Direct,6,INFRA,Noida,29,Not Joined
2591263,No,3,30,E3,-24.24,-24.24,0,No,No,Male,Direct,13,INFRA,Chennai,36,Joined
2591402,No,,30,E2,33.33,33.33,0,No,No,Male,Agency,8,AXON,Noida,34,Not Joined
2591495,No,31,30,E1,-25.71,42.86,92.31,No,Yes,Male,Employee Referral,3,ERS,Chennai,27,Joined
2593939,No,15,45,E1,65.96,61.49,-2.69,No,No,Male,Direct,4,ERS,Chennai,26,Not Joined
2594486,Yes,30,30,E2,-28.57,42.86,100,No,No,Male,Direct,5,INFRA,Chennai,33,Joined
2594579,No,1,30,E1,-14.97,42.86,68,No,No,Female,Direct,2,INFRA,Gurgaon,27,Joined
2598011,Yes,8,30,E2,-24.81,42.86,90,No,No,Male,Direct,5,INFRA,Chennai,36,Joined
2598184,No,3,45,E1,79.17,79.17,0,No,No,Female,Direct,3,CSMP,Noida,27,Joined
2600880,No,0,30,E3,80.95,52.38,-15.79,No,No,Male,Employee Referral,13,BFSI,Bangalore,37,Joined
2604782,Yes,53,30,E3,,316.67,,Yes,No,Male,Agency,12,ERS,Chennai,36,Not Joined
2605197,No,1,60,E1,40.35,31.58,-6.25,No,No,Female,Employee Referral,1,ERS,Noida,25,Joined
2609241,No,44,30,E2,69.23,53.85,-9.09,No,No,Female,Agency,7,BFSI,Bangalore,33,Joined
2609287,No,19,60,E3,-31.82,-9.09,33.33,No,No,Male,Direct,10,ERS,Bangalore,33,Not Joined
2613516,No,3,30,E2,16.13,-15.81,-27.5,No,No,Female,Employee Referral,9,ERS,Bangalore,33,Not Joined
2613742,No,40,30,E1,233.33,233.33,0,No,No,Female,Agency,3,BFSI,Bangalore,26,Joined
2615966,No,11,30,E1,-29.2,-29.2,0,No,No,Female,Employee Referral,3,CSMP,Hyderabad,26,Not Joined
2618791,No,1,30,E2,33.33,20,-10,No,No,Female,Direct,6,AXON,Noida,37,Joined
2618796,No,31,30,E2,,42.85,,No,No,Male,Direct,4,INFRA,Chennai,26,Not Joined
2635381,Yes,20,30,E1,71.43,50,-12.5,No,No,Male,Employee Referral,3,ERS,Bangalore,27,Joined
2635429,No,1,30,E1,42.86,42.86,0,No,No,Male,Employee Referral,3,INFRA,Noida,34,Joined
2635526,Yes,7,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,4,INFRA,Noida,27,Joined
2635705,Yes,15,30,E2,8.33,12.75,4.07,No,No,Male,Agency,9,ERS,Chennai,33,Joined
2635715,No,,90,E3,29.03,-11.29,-31.25,No,No,Male,Direct,10,ERS,Pune,33,Not Joined
2635749,No,35,30,E1,215.32,170.27,-14.29,No,No,Male,Direct,3,ERS,Chennai,26,Joined
2635772,No,,30,E1,50,-8.33,-38.89,No,No,Male,Direct,2,INFRA,Noida,25,Not Joined
2778998,No,17,30,E1,233.33,191.67,-12.5,No,No,Male,Agency,4,ERS,Chennai,27,Joined
2780352,Yes,58,30,E3,30.43,30.43,0,No,No,Male,Agency,10,ERS,Bangalore,34,Joined
2780637,No,,30,E1,-24.89,-24.89,0,No,No,Male,Agency,3,ERS,Chennai,27,Not Joined
2780669,Yes,29,60,E3,33.33,266.67,175,No,No,Male,Agency,9,ERS,Noida,32,Not Joined
2780722,No,,30,E1,62.79,-9.3,-44.29,No,No,Male,Agency,2,ERS,Bangalore,26,Not Joined
2780903,Yes,69,90,E2,32.53,32.53,0,No,No,Male,Direct,3,INFRA,Noida,26,Joined
2781322,Yes,6,90,E2,-11.69,-11.69,0,No,No,Male,Employee Referral,7,BFSI,Chennai,32,Joined
2786502,No,0,30,E2,30.26,35.26,3.84,No,No,Male,Direct,6,INFRA,Noida,34,Joined
2790302,Yes,1,30,E3,-12.2,-12.2,0,No,No,Male,Employee Referral,10,INFRA,Hyderabad,36,Joined
2793776,No,7,90,E2,43.79,36.6,-5,No,No,Male,Agency,7,BFSI,Bangalore,32,Joined
2794255,No,,90,E1,11.11,-20.56,-28.5,No,No,Female,Agency,4,BFSI,Bangalore,28,Not Joined
2794614,No,0,30,E2,72.41,72.41,0,No,No,Male,Agency,4,INFRA,Bangalore,32,Joined
2795222,Yes,7,30,E2,-24.6,-24.6,0,No,No,Male,Direct,5,BFSI,Chennai,31,Not Joined
2802356,No,1,30,E1,37.5,-50,-63.64,No,No,Male,Employee Referral,1,INFRA,Noida,24,Joined
2804650,Yes,17,30,E1,23.08,30.77,6.25,No,No,Male,Employee Referral,2,ERS,Bangalore,27,Joined
2807645,No,,30,E1,12.04,12.04,0,No,No,Female,Direct,6,ETS,Noida,34,Not Joined
2807762,No,,60,E2,36.99,23.29,-10,No,No,Male,Direct,5,ETS,Bangalore,29,Not Joined
2807929,No,86,30,E1,-13.19,-13.19,0,No,No,Male,Direct,3,BFSI,Chennai,28,Joined
2814312,Yes,51,90,E2,42.84,42.84,0,No,No,Male,Agency,6,INFRA,Noida,29,Joined
2814340,Yes,29,45,E3,37.06,31.58,-4,No,No,Male,Employee Referral,5,INFRA,Chennai,32,Joined
2814452,Yes,1,30,E2,37.5,35,-1.82,No,No,Male,Employee Referral,3,INFRA,Bangalore,30,Joined
2819665,Yes,26,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,8,INFRA,Noida,31,Joined
2819712,Yes,0,30,E2,15.38,15.38,0,No,No,Male,Direct,10,EAS,Bangalore,36,Joined
2823905,No,50,60,E2,42.85,42.85,0,No,Yes,Male,Employee Referral,5,INFRA,Noida,29,Joined
2824103,Yes,39,30,E1,-31.06,-1.52,42.86,No,No,Male,Agency,5,ERS,Hyderabad,29,Joined
2826712,Yes,57,60,E2,34.62,25,-7.14,No,No,Male,Employee Referral,7,INFRA,Noida,31,Joined
2828770,No,0,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,4,INFRA,Chennai,26,Joined
2828841,No,10,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,4,INFRA,Noida,29,Joined
2828934,No,3,30,E2,,42.85,,No,No,Male,Employee Referral,4,INFRA,Chennai,25,Not Joined
2834484,Yes,0,30,E1,-12,-12,0,No,No,Male,Agency,1,INFRA,Gurgaon,24,Joined
2834603,No,3,90,E1,-16.67,-16.67,0,No,No,Male,Direct,4,BFSI,Chennai,27,Joined
2839728,No,5,60,E2,-17.07,-14.63,2.94,No,No,Male,Employee Referral,12,INFRA,Noida,31,Joined
2840929,Yes,32,30,E2,57.14,114.29,36.36,No,No,Male,Direct,4,INFRA,Chennai,27,Joined
2841169,Yes,93,90,E2,44.44,33.33,-7.69,No,Yes,Male,Employee Referral,3,INFRA,Chennai,28,Joined
2845533,Yes,30,30,E1,-16.3,19.57,42.86,No,No,Male,Agency,3,ERS,Hyderabad,25,Joined
2845929,Yes,55,30,E2,37.5,25,-9.09,No,Yes,Female,Employee Referral,3,INFRA,Bangalore,25,Joined
2846059,No,39,45,E3,33.33,236.67,152.5,No,No,Male,Agency,9,ERS,Hyderabad,32,Not Joined
2850654,No,,60,E3,-53.5,-33.57,42.86,No,No,Female,Employee Referral,14,ERS,Hyderabad,46,Not Joined
2850795,No,12,30,E1,-54.04,-34.34,42.86,No,Yes,Male,Employee Referral,6,BFSI,Chennai,44,Joined
2850802,No,3,30,E2,15.55,10.29,-4.55,No,No,Male,Direct,7,ERS,Chennai,29,Joined
2855935,Yes,,30,E2,27.27,13.64,-10.71,No,No,Male,Direct,6,AXON,Hyderabad,32,Not Joined
